R_um,V_signed_MHz,V_mag_MHz
1.0,-1621.0,1621.0
1.2,-355.65979069025315,355.65979069025315
1.5,-51.57262612406646,51.57262612406646
1.8,-9.184860445003464,9.184860445003464
2.0,-2.8867187500000004,2.8867187500000004
2.2,-0.7386707014952169,0.7386707014952169
2.4,-0.004702235045838136,0.004702235045838136
2.5,0.14532608,0.14532608
2.8,0.2697052965542522,0.2697052965542522
3.0,0.2522481329065691,0.2522481329065691
3.5,0.1623202604912121,0.1623202604912121
4.0,0.0963897705078125,0.0963897705078125
5.0,0.03584768,0.03584768
