A,gain,in_e1_range
1.0,0.7743147543290404,False
1.0722672220103233,0.7833719913464682,False
1.1497569953977358,0.7925351717698961,False
1.2328467394420661,0.8018055348299257,False
1.321941148466029,0.811184334252562,False
1.4174741629268053,0.820672838428769,False
1.5199110829529336,0.8302723305860061,False
1.6297508346206442,0.8399841089617722,False
1.7475284000076838,0.8498094869791809,False
1.8738174228603839,0.8597497934245859,False
2.0092330025650473,0.8698063726272882,False
2.154434690031884,0.8799805846413431,False
2.3101297000831598,0.8902738054294934,False
2.4770763559917106,0.9006874270492562,False
2.6560877829466865,0.9112228578411842,False
2.848035868435802,0.9218815226193299,False
3.0538555088334154,0.9326648628639385,False
3.2745491628777286,0.9435743369163929,False
3.511191734215131,0.954611420176442,False
3.7649358067924683,0.9657776053017316,False
4.0370172585965545,0.9770744024096742,False
4.328761281083058,0.9885033392816758,False
4.641588833612779,1.0000659615697542,False
4.977023564332112,1.0117638330055734,False
5.3366992312063095,1.0235985356119228,False
5.722367659350217,1.0355716699166704,False
6.1359072734131725,1.047684855169218,False
6.579332246575681,1.0599397295594906,False
7.054802310718643,1.072337950439483,False
7.564633275546289,1.0848811945474028,False
8.111308307896872,1.0975711582344314,False
8.697490026177835,1.1104095576941393,False
9.326033468832199,1.1233981291945854,False
10.0,1.136538629313128,False
10.722672220103231,1.149832835173988,False
11.497569953977356,1.1632825446885846,False
12.32846739442066,1.1768895767986867,False
13.219411484660293,1.1906557717224064,False
14.174741629268055,1.204582991203072,False
15.199110829529339,1.2186731187610085,False
16.297508346206442,1.2329280599482662,False
17.47528400007684,1.2473497426063282,False
18.73817422860384,1.2619401171268327,False
20.09233002565047,1.2767011567153423,False
21.544346900318846,1.2916348576582037,False
23.101297000831604,1.3067432395925234,False
24.770763559917114,1.3220283457793045,False
26.560877829466868,1.3374922433797793,True
28.48035868435802,1.3531370237349707,True
30.538555088334157,1.3689648026485266,False
32.74549162877728,1.3849777206728613,False
35.11191734215131,1.401177943398645,False
37.64935806792467,1.4175676617476778,False
40.370172585965555,1.434149092269191,False
43.287612810830595,1.450924477439614,False
46.4158883361278,1.4678960859658459,False
49.770235643321115,1.4850662130920786,False
53.3669923120631,1.502437180910203,False
57.22367659350217,1.520011338673852,False
61.35907273413173,1.5377910631161122,False
65.79332246575683,1.5557787587709548,False
70.54802310718645,1.5739768582984244,False
75.64633275546291,1.592387822813634,False
81.11308307896873,1.611014142219605,False
86.97490026177834,1.6298583355440042,False
93.26033468832199,1.6489229512798154,False
100.0,1.6682105677300003,False
107.22672220103232,1.6877237933561875,False
114.97569953977356,1.7074652671314419,False
123.28467394420659,1.7274376588971594,False
132.19411484660287,1.7476436697241382,False
141.74741629268047,1.7680860322778709,False
151.99110829529332,1.7887675111881114,False
162.9750834620645,1.8096909034227642,False
174.7528400007685,1.8308590386661456,False
187.3817422860385,1.8522747797016734,False
200.9233002565048,1.8739410227990287,False
215.44346900318845,1.8958606981058477,False
231.01297000831605,1.9180367700439964,False
247.70763559917114,1.9404722377104795,False
265.6087782946687,1.963170135283039,False
284.8035868435802,1.986133532430497,False
305.3855508833416,2.0093655347278983,False
327.45491628777285,2.032869284076509,False
351.1191734215131,2.0566479591287288,False
376.49358067924675,2.080704775717971,False
403.70172585965537,2.1050429872935745,False
432.8761281083057,2.129665885360799,False
464.1588833612782,2.1545767999259713,False
497.7023564332114,2.179779099946833,False
533.6699231206312,2.2052761937881633,False
572.236765935022,2.2310715296827217,False
613.5907273413176,2.257168596197593,False
657.9332246575682,2.2835709227059797,False
705.4802310718645,2.310282079864513,False
756.463327554629,2.3373056800961534,False
811.1308307896873,2.3646453780787327,False
869.7490026177834,2.3923048712392143,False
932.60334688322,2.4202879002537343,False
1000.0,2.4485982495534913,False
